127.0.0.1 - - [11/May/2023:11:00:36 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:39 -0300] "GET /JavaWeb/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:39 -0300] "GET /JavaWeb/esquerda.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:39 -0300] "GET /JavaWeb/topo.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:39 -0300] "GET /JavaWeb/centro.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:39 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:43 -0300] "GET /JavaWeb/usuarios.jsp HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:43 -0300] "GET /JavaWeb/resources/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2023:11:00:43 -0300] "GET /JavaWeb/imagens/cadastro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2023:11:01:47 -0300] "GET /JavaWeb/usuarios.jsp HTTP/1.1" 200 1045
